gFam;geneID
gfam_9043;Cob_00451
gfam_9069;CS_02729
gfam_9069;CGGC5_11577
gfam_9088;CGGC5_13463
gfam_9091;CT04_11949
gfam_9091;CBS127_05700
gfam_9091;CBS130_00804
gfam_9091;CBS168_01049
gfam_9091;CBS495_00567
gfam_9091;CH063_12143T0
gfam_9099;CBS130_10056
gfam_9099;CBS168_07721
gfam_9099;CS_00366
gfam_9099;CH063_12951T0
gfam_9164;GLRG_08359T0
gfam_9178;CBS130_05611
gfam_9178;GLRG_08553T0
gfam_9179;Cob_07090
gfam_9182;CT04_02888
gfam_9182;CBS127_08761
gfam_9182;CBS130_12516
gfam_9182;CBS168_04470
gfam_9182;CBS495_12503
gfam_9182;CS_06864
gfam_9182;GLRG_08592T0
gfam_9182;Cob_07220
gfam_9222;CH063_15142T0
gfam_9258;CT04_02431
gfam_9258;CBS127_09958
gfam_9258;CBS130_03476
gfam_9258;CBS168_01370
gfam_9258;CBS495_03426
gfam_9258;CS_01959
gfam_9258;CH063_15217T0
gfam_9258;CGGC5_12364
gfam_9279;GLRG_09534T0
gfam_9297;GLRG_09740T0
gfam_9299;CT04_00782
